,blueWins,blueTowerKills,blueFirstInhibitor,blueInhibitorKills,blueObjectDamageDealt,blueDeath,blueKills,blueDragonKills
1621,1,1,0,0,20697,7,23,1
1622,0,2,0,0,10415,26,13,0
1623,0,4,0,0,40229,41,36,0
1624,1,9,1,1,79177,23,36,2
1625,1,9,1,3,92978,40,46,4
1626,0,8,1,2,60166,47,39,2
1627,0,2,0,0,21301,23,11,0
1628,0,2,0,0,16144,26,5,0
1629,0,4,0,0,45224,30,15,2
1630,1,6,1,1,65567,12,31,2
1631,0,1,0,0,11197,22,6,0
1632,1,6,1,1,44789,14,28,2
1633,1,4,1,1,9474,36,42,0
1634,0,2,0,0,19654,32,14,0
1635,1,8,1,1,64754,18,37,1
1636,0,0,0,0,6127,31,9,0
1637,1,8,1,1,70302,23,39,1
1638,1,10,1,1,69628,35,41,2
1639,0,0,0,0,7780,23,9,0
1640,0,1,0,0,32477,20,17,0
1641,0,3,0,2,6742,68,61,0
1642,1,4,0,0,20610,15,22,1
1643,0,2,0,2,5388,76,62,0
1644,1,6,1,1,39824,14,30,1
1645,1,10,1,2,73353,32,32,3
1646,0,0,0,0,4092,25,6,0
1647,1,9,0,2,90412,35,32,4
1648,0,0,0,0,5984,16,9,0
1649,1,6,0,0,38551,7,20,1
1650,1,8,1,1,57437,27,47,1
1651,1,4,1,4,7592,75,79,0
1652,1,2,0,0,14045,5,15,0
1653,0,0,0,0,2856,28,7,0
1654,1,8,1,1,85842,43,53,2
1655,1,5,1,1,33732,7,11,1
1656,0,2,0,0,27205,37,22,1
1657,0,4,0,0,28721,29,23,1
1658,1,2,0,0,24317,5,20,2
1659,0,4,0,0,32120,37,17,0
1660,0,0,0,0,10476,31,12,1
1661,1,4,1,3,8044,51,59,0
1662,1,9,1,2,63277,10,18,2
1663,0,4,0,0,49736,38,25,3
1664,1,10,1,2,81231,20,35,3
1665,0,0,0,0,7505,28,7,0
1666,1,2,0,0,18445,9,14,0
1667,0,0,0,0,1234,38,27,0
1668,0,3,0,0,27440,33,28,2
1669,1,9,1,1,94334,21,26,2
1670,1,9,1,1,40640,11,35,1
1671,1,7,1,1,44897,13,39,1
1672,0,2,0,0,34352,44,29,1
1673,1,4,0,0,74449,13,27,4
1674,1,7,1,1,42161,13,29,2
1675,0,1,0,0,9285,27,13,0
1676,1,1,0,0,24613,2,13,1
1677,0,0,0,0,10236,38,21,1
1678,1,8,1,1,69565,18,24,2
1679,0,0,0,0,11469,40,15,1
1680,0,2,0,0,33695,27,10,1
1681,0,0,0,0,11850,22,6,1
1682,1,11,1,3,74487,30,50,4
1683,0,0,0,0,11038,26,8,0
1684,1,4,1,1,10161,30,30,0
1685,0,3,0,0,14829,26,13,0
1686,0,3,0,0,26419,36,18,0
1687,1,3,0,0,23557,4,27,1
1688,1,7,0,1,95725,38,39,4
1689,0,1,0,0,7833,29,12,0
1690,1,8,1,1,53570,12,30,2
1691,1,2,0,0,13710,6,20,1
1692,0,4,0,1,10644,55,58,0
1693,0,4,0,0,57119,24,24,2
1694,0,1,0,0,1999,60,51,0
1695,1,11,1,2,44155,2,28,1
1696,0,0,0,0,7231,22,12,0
1697,0,0,0,0,316,16,5,0
1698,0,0,0,0,8147,16,9,0
1699,1,7,1,1,72689,32,41,4
1700,1,2,0,0,4850,13,24,0
1701,0,0,0,0,8359,39,9,0
1702,0,1,0,0,13866,34,24,1
1703,1,0,0,0,191,2,0,0
1704,0,3,1,2,7899,40,46,0
1705,1,5,0,0,65609,22,25,2
1706,1,8,1,1,71140,16,31,2
1707,1,7,1,1,58292,20,41,1
1708,1,7,1,1,45606,12,31,1
1709,0,4,0,0,76693,37,33,2
1710,0,1,0,0,2616,53,37,0
1711,1,3,0,0,48627,16,20,2
1712,0,0,0,0,221,56,39,0
1713,1,11,1,3,96888,19,33,4
1714,0,0,0,0,5341,21,8,0
1715,1,4,1,1,9923,37,40,0
1716,1,10,1,2,68369,14,24,3
1717,1,2,0,0,21459,8,17,2
1718,1,10,1,2,59145,22,63,1
1719,0,0,0,0,1864,18,6,0
1720,0,0,0,0,8433,20,2,0
1721,0,5,0,0,41656,47,40,1
1722,1,8,1,1,32934,10,34,0
1723,0,2,0,0,59411,39,28,4
1724,0,1,0,0,24533,47,27,2
1725,1,4,1,1,9306,40,52,0
1726,1,10,1,3,81770,19,30,3
